Altium Designer Pick and Place Locations
C:\Users\RickWang\Documents\GitHub\voltage_sensor_PCB\Project Outputs for PCB_High_Voltage_Sensor\Pick Place for PCB_High_Voltage_Sensor.txt

========================================================================================================================
File Design Information:

Date:       04/08/21
Time:       11:17
Revision:   c59799b3f58edf65d34bd42ab7477e48069660fc
Variant:    No variations
Units used: mil

Designator Comment                             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                        
B2         MS518SE                             TopLayer    MS518SE-FL35E              2773.000      784.354       90       "Coin, 5.8mm 3V Lithium Battery Rechargeable (Secondary) 3.4mAh"                                                                   
RN1        EXB-24V220JX                        TopLayer    EXB24V220JX                495.980       1493.000      270      "Resistor Network"                                                                                                                 
R26        0                                   TopLayer    RESC0603                   3392.000      1514.000      360      RESISTOR                                                                                                                           
R25        "RES 100K 5% 0.1W [0603]"           TopLayer    RES_0603                   2896.000      1616.000      90       "RES 100K 5% 0.1W [0603]"                                                                                                          
R24        1M                                  TopLayer    RES_0603                   2958.000      1615.000      270      "1M 1% 0.1W [0603]"                                                                                                                
R23        50K                                 TopLayer    RESC0603                   3696.000      1824.000      270      RESISTOR                                                                                                                           
R22        "RES 100K 5% 0.1W [0603]"           TopLayer    RES_0603                   2807.000      2003.000      90       "RES 100K 5% 0.1W [0603]"                                                                                                          
R21        83.3K                               TopLayer    RES_0603                   2876.000      2002.000      270      "RES 83.3K 1% 0.1W [0603]"                                                                                                         
R20        4.7K                                TopLayer    RESC0603                   2127.000      1389.000      90       RESISTOR                                                                                                                           
D4         APHD1608LSURCK                      TopLayer    LED_BLUE_CLEAR_[0603]_2mA  2095.000      1482.000      360      "LED RED  [0603] 2mA"                                                                                                              
IC7        USBLC6-2SC6                         TopLayer    SOT95P280X145-6N           709.000       1488.000      360      "Integrated Circuit"                                                                                                               
J2         Socket                              TopLayer    PIN1                       3778.000      1298.000      0        Socket                                                                                                                             
FB11       BLM18AG102SN1D                      TopLayer    Ferrite_Bead               493.000       1081.000      90       "Ferrite Bead 1KOhm @100MHz"                                                                                                       
R8         4.7K                                TopLayer    RESC0603                   1482.000      1978.000      90       RESISTOR                                                                                                                           
R7         4.7K                                TopLayer    RESC0603                   1403.000      1979.000      90       RESISTOR                                                                                                                           
FB6        BLM18AG102SN1D                      TopLayer    Ferrite_Bead               1321.000      1756.000      270      "Ferrite Bead 1KOhm @100MHz"                                                                                                       
FB5        BLM18AG102SN1D                      TopLayer    Ferrite_Bead               1402.000      1757.000      90       "Ferrite Bead 1KOhm @100MHz"                                                                                                       
SWD2       68000-104HLF                        TopLayer    4POS_HEADER                70.000        826.000       90       "4 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold or Gold, GXT™"                                         
ANT1       0900AT43A0070E                      TopLayer    ANTC7020X90N               1910.000      2380.000      90       Antenna                                                                                                                            
R15        4.7K                                TopLayer    RESC0603                   3687.000      1320.000      90       RESISTOR                                                                                                                           
